boat,phrf,loa,displacement
"Custom ""African Warrior""",72,41.00,
"Custom ""Aggressive II""",72,37.00,15000
"Custom ""Aggressive""",63,39.70,10724
"Custom ""Agincourt""",3,42.90,14700
"Custom ""Amazing Potato""",57,39.50,11995
"Custom ""Americus""",93,28.60,2700
"Custom ""Angel II""",87,26.80,2300
"Custom ""Aphrodite IV""",63,39.60,12100
"Custom ""Appreciation""",84,40.50,12849
"Custom ""Aquila""",198,41.20,23000
"Custom ""Arabella""",114,46.50,32666
"Custom ""Aries""",60,47.00,
"Custom ""As Larks Harmoniously""",108,33.90,10225
"Custom ""Aurora""",81,43.00,
"Custom ""Aurora""",-78,66.70,40781
"Custom ""Avalanche""",6,41.00,12350
"Custom ""Bandito""",33,45.60,20300
"Custom ""Barfly""",114,34.40,10798
"Custom ""Barnswallow""",141,39.40,22000
"Custom ""Barrister III""",48,42.70,25000
"Custom ""Bingo""",84,35.70,11837
"Custom ""Blackbird""",69,41.00,
"Custom ""Blackwing""",54,30.00,3400
"Custom ""Blue Bayou""",138,35.50,13000
"Custom ""Blue Streak""",36,39.20,10714
"Custom ""Blue Yankee""",36,43.40,17292
"Custom ""Blue Yankee""",-21,47.40,17143
"Custom ""Boomer G""",78,42.70,23832
"Custom ""Bootlegger""",87,42.30,15000
"Custom ""Brandywine""",84,39.80,18000
"Custom ""Brigadoon""",48,57.00,
"Custom ""Brigand""",-24,49.70,200034
"Custom ""Bright Star""",-9,46.50,18315
"Custom ""Bright Star""",-138,77.80,30624
"Custom ""Broadway""",48,51.60,31000
"Custom ""Buckaroo""",57,39.50,12900
"Custom ""Bulldog""",66,40.70,15499
"Custom ""Bullfrog""",87,30.00,6100
"Custom ""Bully""",-9,49.70,22800
"Custom ""Bushranger""",93,21.40,1850
"Custom ""Cabaret""",-6,47.20,18027
"Custom ""Calvados""",162,32.00,
"Custom ""Capriccio""",132,33.20,8660
"Custom ""Caprice""",36,51.50,31967
"Custom ""Carina""",60,48.20,32808
"Custom ""Carrera""",-150,80.10,37571
"Custom ""Cayuse""",24,36.00,8000
"Custom ""Celebration""",72,40.30,14500
"Custom ""Celebration""",36,44.90,27000
"Custom ""Chaika""",117,34.30,12775
"Custom ""Chantyman""",165,32.00,
"Custom ""Chasing Rainbows""",66,41.50,15100
"Custom ""China Doll""",147,34.50,9750
